param : A :=
 1,1        1
 2,2        1
 3,3        1
 4,1        1
 5,1        1
 6,2        1
 7,6        1
 8,3        1
 9,3        1
 10,4       1
 11,5       1
 12,6       1
 13,7       1
 14,5       1
 15,5       1
 16,6       1
 17,10      1
 18,7       1
 19,7       1
 20,8       1
 21,9       1
 22,10      1
 23,11      1
 24,9       1
 25,9       1
 26,10      1
 27,14      1
 28,11      1
 29,11      1
 30,12      1
 31,13      1
 32,14      1   
 33,15      1
 34,13      1
 35,13      1
 36,14      1   
 37,18      1
 38,15      1
 39,15      1
 40,16      1
 41,17      1
 42,18      1
 43,19      1
 44,17      1
 45,17      1
 46,18      1
 47,22      1
 48,19      1
 49,19      1
 50,20      1
 51,21      1
 52,22      1
 53,23      1
;  
