param : B :=
 1,2        1
 2,3        1
 3,4        1
 4,5        1
 5,6        1
 6,6        1
 7,3        1
 8,7        1
 9,8        1
 10,8       1
 11,6       1
 12,7       1
 13,8       1
 14,9       1
 15,10      1
 16,10      1
 17,7       1
 18,11      1
 19,12      1
 20,12      1 
 21,10      1
 22,11      1
 23,12      1
 24,13      1
 25,14      1
 26,14      1
 27,11      1
 28,15      1
 29,16      1
 30,16      1
 31,14      1
 32,15      1   
 33,16      1
 34,17      1
 35,18      1
 36,18      1   
 37,15      1
 38,19      1
 39,20      1
 40,20      1
 41,18      1
 42,19      1
 43,20      1
 44,21      1
 45,22      1
 46,22      1
 47,19      1
 48,23      1
 49,24      1
 50,24      1
 51,22      1
 52,23      1
 53,24      1
; 
